name,address,latitude,longitude,website
Vancouver General Hospital.,"920 West 10th Ave, Vancouver, BC, V5Z 1M9",49.262407,-123.124461,https://www.vch.ca/en/location-service/emergency-department-vancouver-general-hospital
BC Children's Hospital,"4480 Oak St., Entrance 55, Vancouver, BC V6H 3V4",49.245417,-123.123578,https://www.bcchildrens.ca/clinics-services/emergency-department
Richmond Hospital,"7000 Westminster Highway, Richmond, BC, V6X 1A2",49.168873,-123.146325,https://www.vch.ca/en/location-service/emergency-department-richmond-hospital
St. Paul's Hospital,"1081 Burrard St, Vancouver, BC, V6Z 1Y6",49.280596,-123.129001,https://www.providencehealthcare.org/hospitals-residences/st-paul's-hospital
Lions Gate Hospital,"231 East 15th St, North Vancouver, BC, V7L 2L7",49.321096,-123.067796,https://www.vch.ca/en/location-service/emergency-department-lions-gate-hospital
Mount Saint Joseph Hospital,"3080 Prince Edward St, Vancouver, BC, V5T 3N4",49.257914,-123.095204,https://www.providencehealthcare.org/hospitals-residences/mount-saint-joseph-hospital
UBC Hospital,"2211 Wesbrook Mall, Vancouver, BC, V6T 2B5",49.264067,-123.245344,https://www.vch.ca/en/location-service/emergency-department-ubc-hospital
REACH Urgent and Primary Care Centre,"1145 Commercial Drive, Vancouver, BC, V5L 3X3",49.274416,-123.069684,https://www.reachcentre.bc.ca/upcc
Northeast Urgent and Primary Care Centre,"102-2788 E. Hastings St., Vancouver, BC V5K 1Z9",49.281145,-123.047057,https://www.vch.ca/en/location/northeast-urgent-and-primary-care-centre-upcc
Squamish General Hospital,"38140 Behrner Drive, Squamish, BC, V8B 0J3",49.698583,-123.140628,https://www.vch.ca/en/location-service/emergency-department-squamish-general-hospital
Whistler Health Care Centre,"4380 Lorimer Road, Whistler, BC, V0N 18B",50.11982,-122.955186,https://www.vch.ca/en/location/whistler-health-care-centre
Pemberton Health Centre,"1403 Portage Road, Pemberton, BC, V0N 2L0",50.321081,-122.804414,https://www.vch.ca/en/location/pemberton-health-centre
Southeast Urgent and Primary Care Centre,"5880 Victoria Drive, Vancouver, BC V5P 3W9",49.230575,-123.06518,https://www.vch.ca/en/location/southeast-urgent-and-primary-care-centre
Burnaby Hospital,"3935 Kincaid Street, Burnaby, BC, V5G 2X6",49.248776,-123.016837,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/E/8/emergency----burnaby-hospital
